9	127
10	69
11	213
12	762
13	3603
14	16491
15	62741
16	204563
17	524811
18	1097865
19	1916302
20	2888429
21	3832117
22	4600683
23	5101014
24	5295104
25	5210853
26	4901556
27	4428904
28	3865924
29	3273537
30	2694503
31	2167362
32	1704188
33	1310999
34	991717
35	738161
36	539591
37	389358
38	279138
39	196723
40	138178
41	96354
42	66908
43	45549
44	30993
45	21519
46	14559
47	9934
48	6810
49	4578
50	3158
51	2075
52	1318
53	930
54	634
55	435
56	270
57	194
58	134
59	96
60	52
61	51
62	26
63	24
64	14
65	15
66	5
67	6
68	4
69	4
70	2
71	1
72	5
73	3
75	1
76	1
79	1
82	1
83	1
84	3
86	1
89	1
90	1
91	2
103	1
106	1
119	2
128	1
159	2
