ClassPriors	56,44,0.56,0.44
7	13,21,0.00065909551815,0.000864375385882
700	1,4,5.06996552423e-05,0.000164642930644
706	3,1,0.000152098965727,4.1160732661e-05
713	7,1,0.000354897586696,4.1160732661e-05
7268	4,1,0.000202798620969,4.1160732661e-05
7358	1,3,5.06996552423e-05,0.000123482197983
75	2,5,0.000101399310485,0.000205803663305
77056	3,1,0.000152098965727,4.1160732661e-05
78	1,3,5.06996552423e-05,0.000123482197983
7877	1,7,5.06996552423e-05,0.000288125128627
8	16,14,0.000811194483878,0.000576250257255
80	1,6,5.06996552423e-05,0.000246964395966
800	4,1,0.000202798620969,4.1160732661e-05
81	2,2,0.000101399310485,8.23214653221e-05
816	3,1,0.000152098965727,4.1160732661e-05
87	1,4,5.06996552423e-05,0.000164642930644
877	1,4,5.06996552423e-05,0.000164642930644
8859	1,11,5.06996552423e-05,0.000452768059271
888	1,6,5.06996552423e-05,0.000246964395966
9	32,11,0.00162238896776,0.000452768059271
90	3,2,0.000152098965727,8.23214653221e-05
925	3,1,0.000152098965727,4.1160732661e-05
932	1,3,5.06996552423e-05,0.000123482197983
9434	3,1,0.000152098965727,4.1160732661e-05
95	1,16,5.06996552423e-05,0.000658571722577
964	3,1,0.000152098965727,4.1160732661e-05
9643	3,1,0.000152098965727,4.1160732661e-05
973	3,1,0.000152098965727,4.1160732661e-05
99	56,10,0.00283918069357,0.00041160732661
999	3,2,0.000152098965727,8.23214653221e-05
a	197,348,0.00998783208274,0.014323934966
ab	6,1,0.000304197931454,4.1160732661e-05
abidjan	1,3,5.06996552423e-05,0.000123482197983
ability	1,3,5.06996552423e-05,0.000123482197983
able	4,12,0.000202798620969,0.000493928791932
about	10,44,0.000506996552423,0.00181107223709
above	4,9,0.000202798620969,0.000370446593949
absolute	1,3,5.06996552423e-05,0.000123482197983
abuse	1,3,5.06996552423e-05,0.000123482197983
accept	1,4,5.06996552423e-05,0.000164642930644
accepting	1,3,5.06996552423e-05,0.000123482197983
access	3,11,0.000152098965727,0.000452768059271
accomodate	5,1,0.000253498276212,4.1160732661e-05
according	2,2,0.000101399310485,8.23214653221e-05
account	17,21,0.00086189413912,0.000864375385882
accounting	6,1,0.000304197931454,4.1160732661e-05
accrual	3,1,0.000152098965727,4.1160732661e-05
across	6,6,0.000304197931454,0.000246964395966
act	3,6,0.000152098965727,0.000246964395966
activate	1,5,5.06996552423e-05,0.000205803663305
activities	11,1,0.000557696207666,4.1160732661e-05
actual	2,4,0.000101399310485,0.000164642930644
actually	1,3,5.06996552423e-05,0.000123482197983
ad	1,32,5.06996552423e-05,0.00131714344515
add	3,11,0.000152098965727,0.000452768059271
added	1,3,5.06996552423e-05,0.000123482197983
adding	1,3,5.06996552423e-05,0.000123482197983
addition	6,1,0.000304197931454,4.1160732661e-05
additional	14,1,0.000709795173393,4.1160732661e-05
additionally	2,2,0.000101399310485,8.23214653221e-05
address	2,27,0.000101399310485,0.00111133978185
addresses	2,5,0.000101399310485,0.000205803663305
adminder	1,3,5.06996552423e-05,0.000123482197983
administration	4,1,0.000202798620969,4.1160732661e-05
adobe	1,13,5.06996552423e-05,0.000535089524594
adrianbold	1,3,5.06996552423e-05,0.000123482197983
ads	1,6,5.06996552423e-05,0.000246964395966
adult	1,4,5.06996552423e-05,0.000164642930644
advance	5,1,0.000253498276212,4.1160732661e-05
advertise	1,3,5.06996552423e-05,0.000123482197983
advertisement	1,5,5.06996552423e-05,0.000205803663305
advertising	1,8,5.06996552423e-05,0.000329285861288
advice	2,4,0.000101399310485,0.000164642930644
advise	3,1,0.000152098965727,4.1160732661e-05
aec	3,1,0.000152098965727,4.1160732661e-05
aeopublishing	1,30,5.06996552423e-05,0.00123482197983
affect	1,3,5.06996552423e-05,0.000123482197983
affiliate	1,3,5.06996552423e-05,0.000123482197983
affiliates	1,7,5.06996552423e-05,0.000288125128627
afraid	2,4,0.000101399310485,0.000164642930644
africa	1,11,5.06996552423e-05,0.000452768059271
after	6,15,0.000304197931454,0.000617410989916
afternoon	4,2,0.000202798620969,8.23214653221e-05
again	8,6,0.000405597241939,0.000246964395966
against	6,2,0.000304197931454,8.23214653221e-05
age	1,6,5.06996552423e-05,0.000246964395966
agent	1,4,5.06996552423e-05,0.000164642930644
